Report,Publisher,Country Name,Year of Report,Latest,Indicator (English),Indicator Description,Rank,Previous Rank,Value (Reported),Score,Data Type,Source,Falls under 50% threshold,First Globally,First Arab,First Regionally,First GCC,First G20,Sector (English),Main Entity (English),Supporting Entity (English)
"Women, Business and the Law",World Bank,North Macedonia,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Norway,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Pakistan,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Palau,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Panama,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Papua New Guinea,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Paraguay,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Peru,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Philippines,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Poland,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Portugal,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Puerto Rico,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Romania,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Russian Federation,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Rwanda,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Samoa,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,San Marino,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
